,Date,Product,Brand,Category,Quantity,Unit Price,Shipping Charges,Total Price,Billing Address,Seller Address,Shipping Address,Gender,Age,Mode,Prime,City Tiers (Customer),City Tiers (Seller),Weekday,Month
0,2022-10-28,Camlin Kokuyo White Board Marker Ink,Camlin,Stationeries,3.0,31.24,0.0,105.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Friday,October
1,2022-10-23,Men's Shoes (Black),Adidas,Clothing and Fashion,1.0,1211.02,0.0,1429.0,saharsa,saharsa,saharsa,M,51,UPI,Yes,3,3,Sunday,October
2,2022-10-21,Water Bottle,Milton,Cookware,1.0,702.86,0.0,738.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Friday,October
3,2022-10-21,Conditioner,Head & Shoulders,Personal Hygiene,1.0,127.0,0.0,150.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Friday,October
4,2022-10-21,Suitcase,Kamiliant,Stationeries,1.0,1778.0,0.0,2099.0,purnia,purnia,purnia,M,27,UPI,Yes,3,3,Friday,October
5,2022-10-21,Handwash,Savlon,Personal Hygiene,1.0,148.0,0.0,175.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Friday,October
6,2022-08-20,Racquet,Yonex,Sports and Fitness,1.0,847.0,0.0,949.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Saturday,August
7,2022-08-20,Accessory Cock,Yonex,Sports and Fitness,1.0,356.0,0.0,399.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Saturday,August
8,2022-08-16,Razor,Gillette,Personal Hygiene,1.0,201.0,0.0,218.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Tuesday,August
9,2022-03-08,Umbrella,Fendo,Others,1.0,279.0,0.0,313.0,bangalore,bangalore,bangalore,M,24,UPI,Yes,1,1,Tuesday,March
10,2022-10-28,Charger,Speedster,Electronics,1.0,550.0,0.0,649.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Friday,October
11,2022-10-20,Tempered Glass,Double Dice,Electronics,1.0,126.0,0.0,149.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Thursday,October
12,2022-10-18,Candles,Solimo,Others,1.0,400.0,0.0,309.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Tuesday,October
13,2022-09-10,Palm Tree,Creative Farmer,Others,1.0,99.0,0.0,99.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Saturday,September
14,2022-01-10,Redmi 10A,Xiaomi,Electronics,1.0,7287.0,0.0,7774.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Monday,January
15,2022-09-28,Dialpad,Boat,Electronics,1.0,2541.0,0.0,2999.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Wednesday,September
16,2022-09-27,Galaxy M13,Samsung,Electronics,1.0,8050.0,0.0,9499.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Tuesday,September
17,2022-09-26,Hand Gripper,Aurion,Sports and Fitness,1.0,126.0,0.0,149.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Monday,September
18,2022-09-22,Mouse,Redgear,Electronics,1.0,380.0,0.0,299.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Thursday,September
19,2022-02-09,Washing Machine,Whirlpool,Electronics,1.0,12703.0,0.0,14990.0,bangalore,bangalore,bangalore,M,22,Credit Card,Yes,1,1,Wednesday,February
20,2022-11-08,Men's Regular T.Shirt,Symbol,Clothing and Fashion,1.0,294.0,0.0,309.0,bangalore,bangalore,bangalore,M,22,UPI,Yes,1,1,Tuesday,November
21,2022-07-08,Bluetooth Earphones,Nokia,Electronics,1.0,761.0,33.0,899.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Friday,July
22,2022-07-24,Bean Bag,Aart Store,Others,1.0,1605.0,33.0,1895.0,jabalpur,jabalpur,jabalpur,M,23,UPI,No,3,3,Sunday,July
23,2022-07-02,Hair Dryer,Vega,Electronics,1.0,600.0,33.0,599.0,bikaner,bikaner,bikaner,M,23,UPI,No,3,3,Saturday,July
24,2022-07-25,Iron,Usha,Electronics,2.0,406.0,33.0,960.0,bangalore,bangalore,bangalore,M,21,UPI,No,1,1,Monday,July
25,2022-03-30,Running Shoes,Sparx,Clothing and Fashion,1.0,796.0,0.0,891.0,anand,anand,anand,M,21,UPI,No,3,3,Wednesday,March
26,2022-06-08,Smart Band,Xiaomi,Electronics,1.0,1948.0,34.0,2299.0,varanasi,varanasi,varanasi,F,21,UPI,No,2,2,Wednesday,June
27,2022-07-29,Flip Cover,Eleqzun,Electronics,1.0,338.0,0.0,399.0,varanasi,varanasi,varanasi,F,21,UPI,No,2,2,Friday,July
28,2022-07-29,Ballpoint Pen,Meenamart,Stationeries,1.0,168.0,0.0,199.0,varanasi,varanasi,varanasi,F,21,UPI,No,2,2,Friday,July
29,2022-03-31,Bluetooth Earphones,Boat,Electronics,1.0,1100.0,34.0,1299.0,varanasi,varanasi,varanasi,F,21,UPI,No,2,2,Thursday,March
30,2021-01-02,Dental Pulse,Book,Stationeries,1.0,3999.0,199.0,4198.0,varanasi,varanasi,varanasi,F,21,Debit Card,No,2,2,Saturday,January
31,2021-01-15,Leather Wallet,Urban Forest,Clothing and Fashion,1.0,418.0,17.0,494.0,anjar,anjar,anjar,M,21,UPI,No,3,3,Friday,January
32,2021-01-15,Flash Drive,Sandisk,Electronics,1.0,295.0,17.0,349.0,anjar,anjar,anjar,M,21,UPI,No,3,3,Friday,January
33,2021-06-05,Tempered Glass,Praso Tech,Electronics,1.0,122.0,33.0,185.0,anjar,anjar,anjar,M,21,Debit Card,No,3,3,Saturday,June
34,2022-08-25,Running Shoes,Nike,Clothing and Fashion,1.0,3131.0,34.0,3695.0,banswara,banswara,banswara,M,25,Debit Card,No,3,3,Thursday,August
35,2021-03-08,Table Lamp,Wipro,Electronics,1.0,856.0,37.0,959.0,banswara,banswara,banswara,M,25,UPI,No,3,3,Monday,March
36,2021-07-26,Brahm Rasayan,Dabur,Personal Hygiene,1.0,150.0,38.0,229.0,banswara,banswara,banswara,M,25,UPI,No,3,3,Monday,July
37,2021-07-26,Malkangani Oil,Deve Herbs,Personal Hygiene,1.0,341.0,34.0,403.0,banswara,banswara,banswara,M,25,UPI,No,3,3,Monday,July
38,2020-10-25,Toaster Grill,Bajaj,Cookware,1.0,3220.0,34.0,3799.0,banswara,banswara,banswara,M,25,Debit Card,No,3,3,Sunday,October
39,2021-04-11,Plant Stand,Cingaro,Others,1.0,442.0,36.0,535.0,banswara,banswara,banswara,M,25,Debit Card,No,3,3,Sunday,April
40,2021-10-28,Can't hurt me,Harper Collins,Stationeries,1.0,214.0,0.0,225.0,banswara,banswara,banswara,M,25,Debit Card,No,3,3,Thursday,October
41,2021-03-07,Almond Biscuits,Sunfeast,Food,1.0,67.0,0.0,80.0,banswara,banswara,banswara,M,25,Debit Card,No,3,3,Sunday,March
42,2021-03-07,Moong Dal Split,Tata,Food,1.0,150.0,0.0,158.0,banswara,banswara,banswara,M,25,Debit Card,No,3,3,Sunday,March
43,2018-07-16,Statue,Sunny Corps,Others,1.0,535.0,0.0,599.0,banswara,banswara,banswara,M,25,Debit Card,No,3,3,Monday,July
44,2022-05-10,Back Cover,Spigen,Electronics,1.0,677.0,0.0,799.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Tuesday,May
45,2022-08-26,Nonlinear Dynamics with Chaos,Pearson,Stationeries,1.0,640.0,90.0,730.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Friday,August
46,2022-08-22,Notebook,Classmate,Stationeries,1.0,166.0,0.0,186.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Monday,August
47,2022-08-17,Solving Mechanics problems with matlab,Pearson,Stationeries,1.0,695.0,0.0,695.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Wednesday,August
48,2022-08-17,Lamp,Wipro,Electronics,1.0,957.0,0.0,1129.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Wednesday,August
49,2022-02-08,Wireless Mouse,Logitech,Electronics,1.0,758.0,0.0,895.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Tuesday,February
50,2022-07-05,Classical Electromagnetism,Pearson,Stationeries,1.0,815.0,0.0,925.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Tuesday,July
51,2022-09-03,Principles of Operations Research,TMH,Stationeries,1.0,716.0,0.0,1158.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Saturday,September
52,2022-08-09,Dynamics Problems with Matlab,TMH,Stationeries,1.0,412.0,0.0,412.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Tuesday,August
53,2022-09-19,Men's Regular T.Shirt,Symbol,Clothing and Fashion,1.0,313.0,0.0,329.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Monday,September
54,2022-06-09,Men's Casual Shirt,Symbol,Clothing and Fashion,1.0,422.0,34.0,474.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Thursday,June
55,2022-06-09,Men's Jeans,Neostreak,Clothing and Fashion,1.0,570.0,38.0,599.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Thursday,June
56,2022-06-09,Men's Jeans,Neostreak,Clothing and Fashion,1.0,427.0,38.0,449.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Thursday,June
57,2022-08-27,LED Strip,Errol,Electronics,1.0,320.0,0.0,377.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Saturday,August
58,2022-08-25,Men's Running Shoes,Campus,Clothing and Fashion,1.0,935.0,0.0,1047.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Thursday,August
59,2022-08-20,Men's T.Shirt,Symbol,Clothing and Fashion,1.0,406.0,0.0,426.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Saturday,August
60,2022-09-08,Men's Regular T.Shirt,Symbol,Clothing and Fashion,1.0,264.0,0.0,270.0,bangalore,bangalore,bangalore,M,25,UPI,No,1,1,Thursday,September
61,2022-10-06,The Making of The Atomic Bomb,Harper Collins,Stationeries,1.0,891.0,0.0,891.0,neyveli,neyveli,neyveli,M,25,UPI,No,3,3,Thursday,October
62,2022-12-02,Acrylic Colour,Camel,Stationeries,1.0,458.0,0.0,540.0,neyveli,neyveli,neyveli,M,25,UPI,No,3,3,Friday,December
63,2022-10-23,Earphones,Boat,Electronics,1.0,930.0,0.0,1098.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Sunday,October
64,2022-10-16,Bean Bag,Solimo,Others,1.0,1695.0,0.0,1789.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Sunday,October
65,2022-05-02,Hair Dryer,Phillips,Electronics,1.0,644.0,0.0,759.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Monday,May
66,2022-02-20,Deodrant,Fogg,Clothing and Fashion,1.0,233.0,0.0,275.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Sunday,February
67,2022-01-29,Printed Sliders,Red Tape,Clothing and Fashion,1.0,401.0,0.0,450.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Saturday,January
68,2021-12-19,Room Heater,Candes,Electronics,1.0,1439.0,0.0,1614.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Sunday,December
69,2021-11-21,Grooming Kit,Man Company,Clothing and Fashion,1.0,1712.0,0.0,2021.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Sunday,November
70,2021-07-11,Moisturizer,Mama Earth,Personal Hygiene,1.0,254.0,0.0,268.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Sunday,July
71,2021-06-11,Mouse,Logitech,Electronics,1.0,970.0,0.0,1175.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Friday,June
72,2021-10-30,Charging Cable,Go Shops,Electronics,1.0,349.0,0.0,349.0,bangalore,bangalore,bangalore,M,23,UPI,Yes,1,1,Saturday,October
73,2022-07-16,Iron,Bajaj,Electronics,1.0,456.0,34.0,499.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Saturday,July
74,2022-06-27,Design of Radios,Pearson,Stationeries,1.0,450.0,49.0,499.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Monday,June
75,2022-01-18,SSD,Crucial,Electronics,1.0,3219.0,0.0,3799.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Tuesday,January
76,2022-01-01,Peanut Butter,Myfitness,Food,1.0,490.0,0.0,549.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Saturday,January
77,2021-08-16,Art of Electronics,Pearson,Stationeries,1.0,1050.0,0.0,1050.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Monday,August
78,2021-10-08,VLSI Design,Pearson,Stationeries,1.0,395.0,0.0,395.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Friday,October
79,2021-04-08,Design with operational Amplifiers,TMH,Stationeries,1.0,801.0,0.0,801.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Thursday,April
80,2021-03-08,Solid State Electronic Devices,TMH,Stationeries,1.0,490.0,0.0,550.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Monday,March
81,2020-08-12,External Hard Drive,Livetech,Electronics,1.0,275.0,0.0,365.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Wednesday,August
82,2020-11-30,External RAM,Crucial,Electronics,1.0,1794.0,0.0,2117.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Monday,November
83,2022-10-16,Earphones,Oneplus,Electronics,1.0,1299.0,0.0,1299.0,bangalore,bangalore,bangalore,M,24,UPI,No,1,1,Sunday,October
